"AFFGEOID","long","lat","cluster","pvalue","realm","er_fraction","X1","X2","Civilians_Employed_Over_16_delta","Gini_Index_delta","Median_Income_Households_delta","Number_Employed_NAICS11_Industry_delta","Number_Employed_NAICS71_Industry_delta","Number_Households_delta","pct_bachelors_degree_higher_delta","pct_highschool_graduate_equivalency_delta","pct_highschool_graduate_or_higher_delta","pct_less_than_highschool_graduate_delta","pct_some_college_associates_degree_delta","Percent_Population_Poverty_Status_Determined_delta","Population_18to24years_delta","Population_25years_older_delta","Population_Poverty_Status_Determined_delta","Total_Population_delta","RetireTotal","RetirementIncome","NoRetirementIncome"
"0600000US4101793247",-121.367158796863,44.2611800626623,10,0.922121446690274,"Cool Temperate Moist Forest on Mountains",0.394666843995212,-0.290232143359048,0.389105848095667,1016,-0.0412,15733,134,321,682,6.5,21.3,1.19999999999999,1.4,-23.4,-0.7,-68,1709,1451,1864,3521,1313,2208
"0600000US4101991054",-123.493372749139,43.7596306574083,7,0.758918685610366,"Cool Temperate Moist Forest on Mountains",0.541322314049587,0.210533873566199,-0.320903626410707,-73,0.0158,7011,29,30,-52,-0.0999999999999996,-19.6,12,20.5,-0.800000000000001,-2.6,-102,-300,-590,-703,993,251,742
"0600000US4101991547",-123.413196617616,43.5694494359803,5,0.770987511258747,"Cool Temperate Moist Forest on Mountains",0.427514917219934,-0.265145304327103,0.218068471351344,25,-0.014,10850,55,1,80,3.7,2,4.59999999999999,-1.1,-0.800000000000001,-8.5,88,-94,-95,108,1723,599,1124
"0600000US4101991853",-123.610860806376,43.3072188518954,4,0.555504595267066,"Cool Temperate Moist Forest on Mountains",0.790125468469936,0.00288230916010122,-0.440950695828834,114,0.0758,3110,-14,2,25,-11.9,14.5,5.59999999999999,9.1,-20.3,-4.4,109,201,134,40,2056,719,1337
"0600000US4101992057",-123.249345203747,43.0211466553401,3,0.939304804313088,"Cool Temperate Moist Forest on Mountains",0.667191698322987,0.153937174713811,0.112469218374691,-229,0.0374,4531,87,-187,64,1,3.2,5.2,1.2,-4.4,-0.600000000000001,-423,266,135,943,5592,1735,3857
"0600000US4101992244",-122.607606998899,43.2969308032811,7,0.703417222790579,"Cool Temperate Moist Forest on Mountains",0.450095017764191,0.00928097610240397,-0.240700371603235,256,0.0396,7585,121,-11,241,2.7,-30.2,1.2,13.8,16.5,-2,248,272,470,615,2161,594,1567
"0600000US4101992652",-123.912375405458,43.7045790561343,7,0.59446717803519,"Cool Temperate Moist Forest on Mountains",0.861843955673061,0.042522293203318,-0.208039284314611,145,-0.062,7152,-40,-156,-44,-5.3,18.4,4.8,-24.8,6.6,-1.6,-118,115,49,86,2577,786,1791
"0600000US4101992686",-123.338022689305,43.1937791053659,8,0.926991005848029,"Cool Temperate Moist Forest on Mountains",0.640449741156169,0.541307867183411,0.032203166827969,791,0.00880000000000003,9128,175,-23,186,3.1,16,0.599999999999994,-3.9,-14.3,-6,-810,896,-494,-288,17616,4630,12986
"0600000US4101993060",-122.986551212566,42.9431468316051,6,0.948395809625151,"Cool Temperate Moist Forest on Mountains",0.805317243329877,0.213256278535873,-0.207893128548128,-232,0.0513,-4544,-22,-68,129,2.7,-11.7,0.0999999999999943,17.2,-5.5,4,-163,358,-34,-78,1870,469,1401
"0600000US4101993153",-123.260991942843,43.4218647961718,1,0.596897760236601,"Cool Temperate Moist Forest on Mountains",0.887017487307599,0.283638374991611,0.12538774646794,809,0.0415,6551,-73,344,661,6.7,23.4,3.5,-15.2,-18.1,3.8,448,750,1212,495,6866,2302,4564
